Product Id,Product Handle,Product Title,Product Subtitle,Product Description,Product Status,Product Thumbnail,Product Weight,Product Length,Product Width,Product Height,Product HS Code,Product Origin Country,Product MID Code,Product Material,Shipping Profile Id,Product Sales Channel 1,Product Collection Id,Product Type Id,Product Tag 1,Product Discountable,Product External Id,Variant Id,Variant Title,Variant SKU,Variant Barcode,Variant Allow Backorder,Variant Manage Inventory,Variant Weight,Variant Length,Variant Width,Variant Height,Variant HS Code,Variant Origin Country,Variant MID Code,Variant Material,Variant Price EUR,Variant Price USD,Variant Option 1 Name,Variant Option 1 Value
,charmline-portable-charcoal-bbq-grill,Charmline Portable Charcoal BBQ Grill,Foldable Compact Camping Barbecue,"Perfect for Outdoor Carrying: When the grill is folded up it is highly space-saving and portable for outdoor BBQ. No Installation Required, Sturdy Structure: Charmline's portable grill requires no assembly and is ready to use immediately after unpacking. It remains stable on any terrain. Excellent Experience: Features a dedicated space for sauces when unfolded. Additionally, the grill net can be lifted up for easier and safer charcoal changes. Durable and Long-Lasting: Made from thickened alloy steel.",published,https://images-na.ssl-images-amazon.com/images/I/71u9S9S6wNL._AC_SL1500_.jpg,2500,34.7,23,7.6,,China,,Alloy Steel,,,,,,TRUE,,cl-pgl-s-gn,Small / Green,CL-PGL-S-GN,,FALSE,TRUE,2500,34.7,23.0,7.6,,China,,Alloy Steel,40.35,,Size / Color,Small / Green
,charmline-portable-charcoal-bbq-grill,,,,,,,,,,,,,,,,,,,,,cl-pgl-s-bk,Small / Black,CL-PGL-S-BK,,FALSE,TRUE,2500,34.7,23.0,7.6,,China,,Alloy Steel,40.35,,Size / Color,Small / Black
,charmline-portable-charcoal-bbq-grill,,,,,,,,,,,,,,,,,,,,,cl-pgl-m-gn,Medium / Green,CL-PGL-M-GN,,FALSE,TRUE,3100,39.1,27.2,7.9,,China,,Alloy Steel,48.5,,Size / Color,Medium / Green
,charmline-portable-charcoal-bbq-grill,,,,,,,,,,,,,,,,,,,,,cl-pgl-m-bk,Medium / Black,CL-PGL-M-BK,,FALSE,TRUE,3100,39.1,27.2,7.9,,China,,Alloy Steel,48.5,,Size / Color,Medium / Black
,charmline-portable-charcoal-bbq-grill,,,,,,,,,,,,,,,,,,,,,cl-pgl-l-gn,Large / Green,CL-PGL-L-GN,,FALSE,TRUE,4200,46.9,33.5,8.3,,China,,Alloy Steel,59.99,,Size / Color,Large / Green
,charmline-portable-charcoal-bbq-grill,,,,,,,,,,,,,,,,,,,,,cl-pgl-l-bk,Large / Black,CL-PGL-L-BK,,FALSE,TRUE,4200,46.9,33.5,8.3,,China,,Alloy Steel,59.99,,Size / Color,Large / Black
