Product Id,Product Handle,Product Title,Product Subtitle,Product Description,Product Status,Product Thumbnail,Product Weight,Product Length,Product Width,Product Height,Product HS Code,Product Origin Country,Product MID Code,Product Material,Shipping Profile Id,Product Sales Channel 1,Product Collection Id,Product Type Id,Product Tag 1,Product Discountable,Product External Id,Variant Id,Variant Title,Variant SKU,Variant Barcode,Variant Allow Backorder,Variant Manage Inventory,Variant Weight,Variant Length,Variant Width,Variant Height,Variant HS Code,Variant Origin Country,Variant MID Code,Variant Material,Variant Price EUR,Variant Price USD,Variant Option 1 Name,Variant Option 1 Value,Product Image 1 Url,Product Image 2 Url
,barbecue-charbon-portable-charmline,Charmline Barbecue au Charbon Portable,Barbecue de Camping Compact et Pliable,"Aucune installation requise, structure robuste: Le barbecue portable Charmline ne nécessite aucun assemblage et est prêt à l'emploi immédiatement après le déballage. Il reste stable sur tous les terrains. Excellente expérience: Dispose d'un espace dédié aux sauces lorsqu'il est déplié. De plus, la grille peut être soulevée pour un changement de charbon plus facile et plus sûr. Durable et résistant: Fabriqué en acier allié épais.",published,https://m.media-amazon.com/images/I/71kBbDtgFAL._AC_SL1500_.jpg,2500,34.7,23.0,7.6,,China,,Alloy Steel,,Default Sales Channel,,,,TRUE,,,S-GN,CL-PGL-S-GN,,FALSE,TRUE,2500,34.7,23.0,7.6,,China,,Alloy Steel,40.35,,Taille / Couleur,Petit / Vert,https://m.media-amazon.com/images/I/71kBbDtgFAL._AC_SL1500_.jpg,https://m.media-amazon.com/images/I/71b60kcVSdL._AC_SL1500_.jpg
,barbecue-charbon-portable-charmline,,,,,,,,,,,,,,,,,,,,,,S-BK,CL-PGL-S-BK,,FALSE,TRUE,2500,34.7,23.0,7.6,,China,,Alloy Steel,40.35,,Taille / Couleur,Petit / Noir,,
,barbecue-charbon-portable-charmline,,,,,,,,,,,,,,,,,,,,,,M-GN,CL-PGL-M-GN,,FALSE,TRUE,3100,39.1,27.2,7.9,,China,,Alloy Steel,48.5,,Taille / Couleur,Moyen / Vert,,
,barbecue-charbon-portable-charmline,,,,,,,,,,,,,,,,,,,,,,M-BK,CL-PGL-M-BK,,FALSE,TRUE,3100,39.1,27.2,7.9,,China,,Alloy Steel,48.5,,Taille / Couleur,Moyen / Noir,,
,barbecue-charbon-portable-charmline,,,,,,,,,,,,,,,,,,,,,,L-GN,CL-PGL-L-GN,,FALSE,TRUE,4200,46.9,33.5,8.3,,China,,Alloy Steel,59.99,,Taille / Couleur,Grand / Vert,,
,barbecue-charbon-portable-charmline,,,,,,,,,,,,,,,,,,,,,,L-BK,CL-PGL-L-BK,,FALSE,TRUE,4200,46.9,33.5,8.3,,China,,Alloy Steel,59.99,,Taille / Couleur,Grand / Noir,,
