Product Id,Product Handle,Product Title,Product Subtitle,Product Description,Product Status,Product Thumbnail,Product Weight,Product Length,Product Width,Product Height,Product HS Code,Product Origin Country,Product MID Code,Product Material,Shipping Profile Id,Product Sales Channel 1,Product Collection Id,Product Type Id,Product Tag 1,Product Discountable,Product External Id,Variant Id,Variant Title,Variant SKU,Variant Barcode,Variant Allow Backorder,Variant Manage Inventory,Variant Weight,Variant Length,Variant Width,Variant Height,Variant HS Code,Variant Origin Country,Variant MID Code,Variant Material,Variant Price EUR,Variant Price USD,Variant Option 1 Name,Variant Option 1 Value,Product Image 1 Url,Product Image 2 Url
,charmline-barbecue-charbon-portable,Charmline Barbecue au Charbon Portable,Barbecue de Camping Pliable et Compact,"Pas d'installation requise, Structure robuste: Le barbecue portable de Charmline ne nécessite aucun assemblage et est prêt à l'emploi immédiatement après le déballage. Il reste stable sur tous les terrains. Excellente expérience: Dispose d'un espace dédié aux sauces lorsqu'il est déplié. De plus, la grille de cuisson peut être soulevée pour un changement de charbon plus facile et plus sûr. Durable et résistant: Fabriqué en acier allié épaissi.",published,https://m.media-amazon.com/images/I/71kBbDtgFAL._AC_SL1500_.jpg,2500,34.7,23,7.6,,China,,Acier Allie,,Default Sales Channel,,,,TRUE,,,Small-Green,CL-PGL-S-GN,,FALSE,TRUE,2500,34.7,23.0,7.6,,China,,Acier Allie,40.35,,Taille / Couleur,Petit / Vert,"https://m.media-amazon.com/images/I/71kBbDtgFAL._AC_SL1500_.jpg,https://m.media-amazon.com/images/I/71b60kcVSdL._AC_SL1500_.jpg,https://m.media-amazon.com/images/I/71-248ZWWNL._AC_SL1500_.jpg,https://m.media-amazon.com/images/I/71X7bQ30W5L._AC_SL1500_.jpg,https://m.media-amazon.com/images/I/71V3hGzTz3L._AC_SL1500_.jpg,https://m.media-amazon.com/images/I/71sG0j4j6kL._AC_SL1500_.jpg,https://m.media-amazon.com/images/I/71yR8b2fQdL._AC_SL1500_.jpg,https://m.media-amazon.com/images/I/71mZ890vX9L._AC_SL1500_.jpg",
,charmline-barbecue-charbon-portable,,,,,,,,,,,,,,,,,,,,,,Small-Black,CL-PGL-S-BK,,FALSE,TRUE,2500,34.7,23.0,7.6,,China,,Acier Allie,40.35,,Taille / Couleur,Petit / Noir,,
,charmline-barbecue-charbon-portable,,,,,,,,,,,,,,,,,,,,,,Medium-Green,CL-PGL-M-GN,,FALSE,TRUE,3100,39.1,27.2,7.9,,China,,Acier Allie,48.5,,Taille / Couleur,Moyen / Vert,,
,charmline-barbecue-charbon-portable,,,,,,,,,,,,,,,,,,,,,,Medium-Black,CL-PGL-M-BK,,FALSE,TRUE,3100,39.1,27.2,7.9,,China,,Acier Allie,48.5,,Taille / Couleur,Moyen / Noir,,
,charmline-barbecue-charbon-portable,,,,,,,,,,,,,,,,,,,,,,Large-Green,CL-PGL-L-GN,,FALSE,TRUE,4200,46.9,33.5,8.3,,China,,Acier Allie,59.99,,Taille / Couleur,Grand / Vert,,
,charmline-barbecue-charbon-portable,,,,,,,,,,,,,,,,,,,,,,Large-Black,CL-PGL-L-BK,,FALSE,TRUE,4200,46.9,33.5,8.3,,China,,Acier Allie,59.99,,Taille / Couleur,Grand / Noir,,
